,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Pass Types - Live,Pass Types - Dead,Pass Types - FK,Pass Types - TB,Pass Types - Sw,Pass Types - Crs,Pass Types - TI,Pass Types - CK,Corner Kicks - In,Corner Kicks - Out,Corner Kicks - Str,Outcomes - Cmp,Outcomes - Off,Outcomes - Blocks
161,Kaan Ayhan,tr TUR,DF,Sassuolo,Serie A,25.0,1994.0,8.8,567.0,530.0,36.0,8.0,0.0,1.0,3.0,28.0,0.0,0.0,0.0,0.0,515.0,1.0,3.0
162,Luke Ayling,eng ENG,DF,Leeds United,Premier League,28.0,1991.0,37.8,2770.0,2407.0,355.0,56.0,4.0,50.0,82.0,299.0,0.0,0.0,0.0,0.0,2161.0,8.0,46.0
163,Ramon Azeez,ng NGA,MF,Granada,La Liga,27.0,1992.0,1.1,37.0,35.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0
164,César Azpilicueta,es ESP,DF,Chelsea,Premier League,30.0,1989.0,24.3,2081.0,1892.0,185.0,32.0,3.0,0.0,37.0,153.0,0.0,0.0,0.0,0.0,1787.0,4.0,31.0
165,Ludovic Baal,gf GUF,"DF,MF",Brest,Ligue 1,34.0,1986.0,3.3,253.0,233.0,20.0,6.0,0.0,3.0,2.0,14.0,0.0,0.0,0.0,0.0,212.0,0.0,1.0
166,Carlos Bacca,co COL,FW,Villarreal,La Liga,33.0,1986.0,8.7,168.0,153.0,14.0,0.0,2.0,2.0,7.0,1.0,0.0,0.0,0.0,0.0,105.0,1.0,5.0
167,Loïc Bade,fr FRA,DF,Lens,Ligue 1,20.0,2000.0,29.0,1961.0,1925.0,33.0,29.0,1.0,15.0,5.0,1.0,0.0,0.0,0.0,0.0,1672.0,3.0,11.0
168,Milan Badelj,hr CRO,MF,Genoa,Serie A,31.0,1989.0,26.8,1597.0,1520.0,70.0,54.0,3.0,26.0,15.0,3.0,2.0,1.0,1.0,0.0,1295.0,7.0,25.0
169,Édgar Badía,es ESP,GK,Elche,La Liga,28.0,1992.0,30.0,1150.0,776.0,373.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,865.0,1.0,0.0
170,Benoît Badiashile,fr FRA,DF,Monaco,Ligue 1,19.0,2001.0,31.9,2450.0,2400.0,46.0,41.0,1.0,28.0,3.0,5.0,0.0,0.0,0.0,0.0,2124.0,4.0,7.0
