,Player,Squad,90s,Total - Cmp,Total - Att,Total - Cmp%,Total - TotDist,Total - PrgDist,Short - Cmp,Short - Att,Short - Cmp%,Medium - Cmp,Medium - Att,Medium - Cmp%,Long - Cmp,Long - Att,Long - Cmp%,Ast,xAG,Expected - xA,Expected - A-xAG,KP,1/3,PPA,CrsPA,PrgP
2078,Tim Skarke,Union Berlin,3.6,52,78,66.7,711,158,33,40,82.5,14,23,60.9,3,5,60.0,1,0.3,0.4,+0.7,3,2,4,2,5
2080,Ellyes Skhiri,Eint Frankfurt,9.5,384,435,88.3,5770,1570,215,234,91.9,142,155,91.6,17,26,65.4,1,0.6,0.9,+0.4,10,25,5,0,37
2081,Oliver Skipp,Leicester City,5.6,173,203,85.2,2590,771,94,104,90.4,61,67,91.0,10,16,62.5,0,0.1,0.2,-0.1,4,17,4,0,17
2082,Leo Skiri Ostigard,Rennes,7.9,423,494,85.6,8502,3271,130,147,88.4,240,262,91.6,50,79,63.3,0,0.0,0.1,0.0,1,30,0,0,40
2083,Lukasz Skorupski,Bologna,8.0,237,297,79.8,6287,4085,35,35,100.0,126,127,99.2,74,132,56.1,0,0.0,0.0,0.0,0,3,0,0,0
2084,Robert Skov,Union Berlin,1.8,53,78,67.9,842,289,33,37,89.2,15,21,71.4,5,11,45.5,1,0.7,0.3,+0.3,3,4,2,1,3
2085,Milan Skriniar,Paris S-G,4.2,361,374,96.5,6457,2316,133,136,97.8,208,213,97.7,16,20,80.0,0,0.1,0.0,-0.1,1,15,0,0,20
2086,Steven Skrzybski,Holstein Kiel,4.7,95,146,65.1,1818,665,38,46,82.6,46,67,68.7,11,26,42.3,1,1.0,1.4,0.0,9,13,8,5,21
2087,Naatan Skytta,Toulouse,0.1,4,4,100.0,32,1,4,4,100.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,1,0,0,0
2088,William Smallbone,Southampton,2.7,91,127,71.7,1300,187,50,58,86.2,35,45,77.8,2,14,14.3,0,0.3,0.5,-0.3,3,3,1,1,8
2089,Adam Smith,Bournemouth,8.6,224,291,77.0,3547,1207,109,127,85.8,99,123,80.5,10,29,34.5,0,0.1,0.1,-0.1,3,21,2,1,19
2090,Eric Smith,St. Pauli,11.4,478,604,79.1,10229,3833,141,152,92.8,249,284,87.7,84,155,54.2,0,0.9,1.5,-0.9,14,38,3,2,36
2091,Justin Smith,Espanyol,1.0,9,15,60.0,143,37,4,7,57.1,4,5,80.0,1,3,33.3,0,0.0,0.0,0.0,0,0,0,0,1
2092,Emile Smith Rowe,Fulham,10.4,461,510,90.4,6683,1382,263,285,92.3,178,186,95.7,12,16,75.0,2,0.9,1.3,+1.1,15,49,6,0,71
2093,Eduard Sobol,Strasbourg,0.0,1,1,100.0,10,8,1,1,100.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,1,0,0,1
2094,Simon Sohm,Parma,11.8,356,422,84.4,5709,1575,176,194,90.7,145,170,85.3,22,34,64.7,0,0.1,0.5,-0.1,3,34,10,1,39
2095,Alex Sola,Getafe,10.4,133,209,63.6,1870,452,89,112,79.5,30,49,61.2,8,25,32.0,1,0.7,0.8,+0.3,9,8,1,1,20
2096,Dominic Solanke,Tottenham,9.9,116,163,71.2,1602,448,74,97,76.3,27,37,73.0,7,12,58.3,2,1.2,0.7,+0.8,6,13,5,0,22
