,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Performance - CrdY,Performance - CrdR,Performance - 2CrdY,Performance - Fls,Performance - Fld,Performance - Off,Performance - Crs,Performance - Int,Performance - TklW,Performance - PKwon,Performance - PKcon,Performance - OG
1797,Steven Moreira,fr FRA,"DF,MF",Rennes,Ligue 1,19.0,1994.0,12.5,1.0,0.0,,13.0,,,,,,,,
1798,Jérémy Morel,mg MAD,DF,Marseille,Ligue 1,30.0,1984.0,29.7,6.0,1.0,,32.0,,,,,,,,
1799,Alberto Moreno,es ESP,"DF,MF",Liverpool,Premier League,22.0,1992.0,25.0,6.0,0.0,,36.0,,,,,,,,
1800,Álex Moreno,es ESP,"DF,MF",Rayo Vallecano,La Liga,21.0,1993.0,5.1,0.0,0.0,,9.0,,,,,,,,
1801,Gerard Moreno,es ESP,FW,Villarreal,La Liga,22.0,1992.0,17.9,2.0,0.0,,23.0,,,,,,,,
1802,Héctor Moreno,mx MEX,DF,Espanyol,La Liga,26.0,1988.0,17.7,5.0,1.0,,13.0,,,,,,,,
1803,Emiliano Moretti,it ITA,DF,Torino,Serie A,33.0,1981.0,35.0,11.0,0.0,,40.0,,,,,,,,
1804,Wes Morgan,jm JAM,DF,Leicester City,Premier League,30.0,1984.0,36.5,1.0,1.0,,29.0,,,,,,,,
1805,Michel Morganella,ch SUI,"DF,MF",Palermo,Serie A,25.0,1989.0,19.1,7.0,0.0,,35.0,,,,,,,,
1806,Jairo Morillas,es ESP,FW,Espanyol,La Liga,21.0,1993.0,0.7,0.0,0.0,,0.0,,,,,,,,
1807,Christoph Moritz,de GER,MF,Mainz 05,Bundesliga,24.0,1990.0,5.6,0.0,0.0,,3.0,,,,,,,,
1808,Davide Moro,it ITA,MF,Empoli,Serie A,32.0,1982.0,1.3,1.0,0.0,,3.0,,,,,,,,
1809,James Morrison,sct SCO,"FW,MF",West Brom,Premier League,28.0,1986.0,28.4,3.0,0.0,,30.0,,,,,,,,
