,Player,90s,Performance - CrdY,Performance - CrdR,Performance - 2CrdY,Performance - Fls,Performance - Fld,Performance - Off,Performance - Crs,Performance - Int,Performance - TklW,Performance - PKwon,Performance - PKcon,Performance - OG,Performance - Recov,Aerial Duels - Won,Aerial Duels - Lost,Aerial Duels - Won%
2216,Stephane Ruffier,37.0,1,0,0,2,1,0,0,0,2,0,1,0,49,18,0,100.0
2217,Daniele Rugani,15.0,3,0,0,29,5,0,0,16,5,0,0,0,53,39,17,69.6
2218,Mario Rui,15.7,5,1,1,17,17,3,85,21,18,0,0,0,86,3,10,23.1
2219,Abel Ruiz,0.2,0,0,0,0,0,0,1,0,1,0,0,0,1,0,2,0.0
2220,Fabian Ruiz Pena,22.1,3,1,1,11,22,2,29,21,33,0,0,0,153,13,22,37.1
2221,Victor Ruiz,21.9,10,0,0,29,10,1,4,38,19,0,1,0,117,47,29,61.8
2222,Geronimo Rulli,27.0,3,0,0,1,3,0,0,1,1,0,1,0,33,12,2,85.7
2224,Marco Russ,4.2,1,0,0,3,1,0,0,7,2,0,0,0,17,16,12,57.1
2225,Mathew Ryan,34.0,2,0,0,1,3,0,0,0,0,0,1,0,25,8,1,88.9
2228,Youssouf Sabaly,21.2,3,0,0,32,29,3,53,26,32,0,0,0,156,18,30,37.5
2229,Abdelhamid Sabiri,0.5,0,0,0,0,1,0,0,1,1,0,0,0,2,0,1,0.0
2230,Marcel Sabitzer,26.1,9,0,0,27,30,5,64,33,28,0,0,1,185,17,28,37.8
2231,Ihsan Sacko,4.9,0,1,0,12,6,4,6,2,2,1,0,0,17,4,15,21.1
2232,Nuri Sahin,16.4,5,0,0,28,9,0,35,37,33,0,0,0,124,28,26,51.9
2234,Wesley Said,25.0,4,0,0,49,13,7,35,9,18,0,0,0,84,19,33,36.5
2236,Allan Saint-Maximin,32.2,2,0,0,12,68,8,82,4,6,2,0,0,105,30,31,49.2
2238,Romain Saiss,12.8,7,0,0,27,8,0,9,26,26,0,0,0,82,57,28,67.1
2239,Samuel Saiz,3.4,2,0,0,3,3,1,6,0,3,0,0,0,19,2,9,18.2
2241,Hiroki Sakai,26.4,3,0,0,32,25,1,34,37,41,0,1,0,113,82,34,70.7
2242,Diafra Sakho,1.6,0,0,0,0,1,2,1,0,1,0,0,0,6,5,2,71.4
2243,Mamadou Sakho,26.8,2,0,0,5,13,0,0,41,16,0,2,0,192,49,37,57.0
2244,Bakary Sako,0.3,0,0,0,1,0,1,3,0,1,0,0,0,5,0,2,0.0
2245,Emiliano Sala,15.2,0,0,0,16,34,13,4,2,5,1,0,0,41,42,61,40.8
2246,Jacopo Sala,16.9,5,0,0,21,16,0,52,20,23,0,0,0,113,11,8,57.9
2247,Mohamed Salah,36.1,1,0,0,25,32,27,57,5,9,5,0,0,121,10,60,14.3
2248,Bartosz Salamon,19.2,3,0,0,20,8,0,0,27,10,0,0,0,95,44,35,55.7
2249,Carlos Salcedo,5.1,3,0,0,9,2,0,0,9,3,0,0,0,40,13,8,61.9
2250,William Saliba,14.2,1,0,0,9,11,0,0,28,20,0,2,0,88,28,19,59.6
2251,Yannis Salibur,9.8,2,1,1,21,31,6,55,8,5,1,0,0,44,9,17,34.6
2253,Roland Sallai,5.9,3,0,0,17,19,1,9,3,7,1,0,0,26,12,10,54.5
2254,Edgar Salli,1.3,1,0,0,4,2,1,0,1,1,0,0,0,5,0,7,0.0
2255,Brice Samba,38.0,1,0,0,0,2,0,0,1,0,0,0,0,36,9,0,100.0
2256,Junior Sambia,10.3,3,0,0,19,24,4,58,5,7,0,0,0,51,12,17,41.4
2257,Paolo Sammarco,6.1,1,0,0,8,7,0,15,3,7,0,1,0,35,8,7,53.3
2258,Frederic Sammaritano,6.0,3,1,1,14,5,1,23,8,5,0,0,0,30,0,12,0.0
2259,Mikel San Jose,19.3,7,0,0,34,8,2,11,21,25,0,0,0,99,63,35,64.3
2260,Antonio Sanabria,8.5,1,0,0,19,15,2,2,4,3,1,0,0,15,28,38,42.4
2262,Antonio Sanabria,9.0,2,0,0,10,13,6,2,3,6,0,0,0,14,21,23,47.7
2263,Renato Sanches,6.4,2,1,1,10,12,1,20,4,5,0,0,0,35,2,8,20.0
