,Player,Squad,90s,Performance - CrdY,Performance - CrdR,Performance - 2CrdY,Performance - Fls,Performance - Fld,Performance - Off,Performance - Crs,Performance - Int,Performance - TklW,Performance - PKwon,Performance - PKcon,Performance - OG,Performance - Recov,Aerial Duels - Won,Aerial Duels - Lost,Aerial Duels - Won%
1988,Nehuen Paz,Lecce,9.4,4,0,0,13,2,0,1,20,5,0,2,0,23,38,13,74.5
1989,Giampaolo Pazzini,Hellas Verona,3.4,0,0,0,7,6,4,1,1,0,0,0,0,13,8,15,34.8
1990,Mads Pedersen,Augsburg,1.1,0,0,0,0,0,0,4,2,2,0,0,0,5,0,1,0.0
1991,Alfonso Pedraza,Betis,15.0,3,0,0,18,22,2,38,16,19,0,0,0,71,12,16,42.9
1992,Marc Pedraza,Mallorca,1.4,0,0,0,2,0,0,0,4,1,0,0,0,3,0,3,0.0
1993,Pedro,Chelsea,7.3,1,0,0,8,11,0,20,9,7,0,0,0,52,2,4,33.3
1994,Pedro,Fiorentina,0.7,0,0,0,0,2,1,0,0,1,0,0,0,4,2,6,25.0
1995,Joao Pedro,Cagliari,35.0,6,0,0,47,76,9,15,9,11,1,1,0,102,77,97,44.3
1996,Adria Pedrosa,Espanyol,12.1,3,0,0,10,18,2,31,11,13,0,0,1,66,9,12,42.9
1997,Daouda Peeters,Juventus,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0
1998,Jordan Pefok,Rennes,4.9,3,0,0,11,7,1,0,1,6,0,0,0,13,16,22,42.1
1999,Gianluca Pegolo,Sassuolo,5.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0.0
2000,Peter Pekarik,Hertha BSC,8.5,2,0,0,7,6,0,24,7,7,1,0,0,33,12,8,60.0
2002,Yohann Pele,Marseille,1.7,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0.0
2003,Lorenzo Pellegrini,Roma,23.3,8,1,1,41,33,4,148,15,13,1,0,0,94,15,27,35.7
2004,Luca Pellegrini,Cagliari,21.2,10,0,0,32,22,0,114,21,15,1,1,0,122,18,19,48.6
2005,Theo Pellenard,Angers,5.1,1,0,0,13,2,0,19,5,8,0,0,0,33,5,2,71.4
2006,Andy Pelmard,Nice,8.5,1,0,0,3,7,0,0,15,14,0,1,0,71,4,11,26.7
2007,Federico Peluso,Sassuolo,16.8,5,1,0,20,14,1,6,22,16,0,0,0,60,27,17,61.4
2008,Ruben Pena,Villarreal,21.2,5,0,0,39,21,1,78,35,24,0,0,1,114,20,23,46.5
2009,Philipp Pentke,Hoffenheim,4.0,1,0,0,0,1,0,0,0,0,0,0,0,14,3,0,100.0
2010,Nicolas Pepe,Arsenal,22.3,4,0,0,14,37,4,109,8,17,0,0,0,104,21,41,33.9
