,Player,Squad,90s,Touches - Touches,Touches - Def Pen,Touches - Def 3rd,Touches - Mid 3rd,Touches - Att 3rd,Touches - Att Pen,Touches - Live,Take-Ons - Att,Take-Ons - Succ,Take-Ons - Succ%,Take-Ons - Tkld,Take-Ons - Tkld%,Carries - Carries,Carries - TotDist,Carries - PrgDist,Carries - PrgC,Carries - 1/3,Carries - CPA,Carries - Mis,Carries - Dis,Receiving - Rec,Receiving - PrgR
66,Carles Alena,Barcelona,0.5,46,1,12,24,10,1,46,0,0,0.0,0,0.0,24,109,65,1,0,0,2,1,42,1
67,Carles Alena,Getafe,15.2,719,8,62,361,315,16,719,36,23,63.9,13,36.1,434,2413,1054,20,31,1,28,18,491,51
68,Runar Alex Runarsson,Arsenal,0.2,13,10,12,1,0,0,13,0,0,0.0,0,0.0,5,26,12,0,0,0,0,0,6,0
69,Trent Alexander-Arnold,Liverpool,33.7,3318,73,699,1494,1151,81,3318,61,32,52.5,29,47.5,1992,9462,5442,98,95,24,31,22,2202,249
70,Alfon,Celta Vigo,0.4,21,0,0,6,15,2,21,2,1,50.0,1,50.0,20,81,39,0,1,0,3,0,20,5
71,Mohamed Ali Cho,Angers,3.9,173,0,13,66,98,16,173,11,5,45.5,6,54.5,114,750,382,15,10,2,16,12,121,26
72,Ezgjan Alioski,Leeds United,27.3,1951,75,560,902,503,41,1951,26,11,42.3,15,57.7,1007,5508,3290,77,43,5,37,15,1197,122
73,Rachid Alioui,Angers,0.2,11,0,3,3,5,2,11,0,0,0.0,0,0.0,6,5,0,0,0,0,1,1,9,1
74,Alisson,Liverpool,33.0,1239,931,1224,16,1,1,1239,2,2,100.0,0,0.0,709,2807,1763,0,0,0,0,0,669,0
75,Saturnin Allagbe,Dijon,12.0,443,395,443,0,0,0,443,1,1,100.0,0,0.0,228,866,497,0,0,0,1,0,170,0
76,Allan,Everton,22.8,1310,68,382,816,136,3,1310,49,31,63.3,18,36.7,721,4220,2314,30,31,2,21,18,831,8
