,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time - MP,Playing Time - Min,Playing Time - Mn/MP,Playing Time - Min%,Playing Time - 90s,Starts - Starts,Starts - Mn/Start,Starts - Compl,Subs - Subs,Subs - Mn/Sub,Subs - unSub,Team Success - PPM,Team Success - onG,Team Success - onGA,Team Success - +/-,Team Success - +/-90,Team Success - On-Off
255,Marc Bartra,ESP,DF,Dortmund,de Bundesliga,25.0,1991.0,19.0,1560.0,82.0,51.0,17.3,18.0,,16.0,1.0,,9.0,2.0,42.0,24.0,18.0,1.04,0.2
256,Andrea Barzagli,ITA,DF,Juventus,it Serie A,35.0,1981.0,23.0,1532.0,67.0,44.8,17.0,17.0,,14.0,6.0,,8.0,2.52,33.0,11.0,22.0,1.29,-0.04
257,Marko Baša,MNE,DF,Lille,fr Ligue 1,33.0,1982.0,23.0,1949.0,85.0,57.0,21.7,23.0,,18.0,0.0,,0.0,1.22,22.0,27.0,-5.0,-0.23,-0.11
258,Daniele Baselli,ITA,MF,Torino,it Serie A,24.0,1992.0,37.0,2288.0,62.0,66.9,25.4,28.0,,7.0,9.0,,0.0,1.35,48.0,39.0,9.0,0.35,0.67
260,Nicolas Basin,FRA,DF,Metz,fr Ligue 1,18.0,1998.0,1.0,26.0,26.0,0.8,0.3,0.0,,0.0,1.0,,2.0,3.0,2.0,1.0,1.0,3.46,4.36
261,Amine Bassi,FRA,MF,Nancy,fr Ligue 1,18.0,1997.0,1.0,90.0,90.0,2.6,1.0,1.0,,1.0,0.0,,0.0,0.0,0.0,3.0,-3.0,-3.0,-2.46
262,Davide Bassi,ITA,GK,Atalanta,it Serie A,31.0,1985.0,0.0,,,,,0.0,,0.0,0.0,,13.0,,,,,,
263,Dušan Basta,SRB,"DF,MF",Lazio,it Serie A,31.0,1984.0,27.0,2120.0,79.0,62.0,23.6,24.0,,17.0,3.0,,7.0,1.67,37.0,31.0,6.0,0.25,-0.92
264,Samuel Bastien,COD,"MF,FW",Chievo,it Serie A,19.0,1996.0,12.0,799.0,67.0,23.4,8.9,8.0,,5.0,4.0,,20.0,0.92,11.0,16.0,-5.0,-0.56,-0.12
265,Borja Bastón,ESP,FW,Swansea City,eng Premier League,23.0,1992.0,18.0,561.0,31.0,16.4,6.2,4.0,,3.0,14.0,,10.0,0.56,4.0,11.0,-7.0,-1.12,-0.56
266,Alessandro Bastoni,ITA,DF,Atalanta,it Serie A,17.0,1999.0,3.0,155.0,52.0,4.5,1.7,1.0,,1.0,2.0,,17.0,1.33,1.0,1.0,0.0,0.0,-0.58
267,Bastos,AGO,"DF,MF",Lazio,it Serie A,25.0,1991.0,11.0,774.0,70.0,22.6,8.6,10.0,,7.0,1.0,,17.0,1.45,15.0,13.0,2.0,0.23,-0.48
268,Leon Bätge,DEU,GK,Eint Frankfurt,de Bundesliga,19.0,1997.0,0.0,,,,,0.0,,0.0,0.0,,2.0,,,,,,
269,Michy Batshuayi,BEL,FW,Chelsea,eng Premier League,22.0,1993.0,20.0,254.0,13.0,7.4,2.8,1.0,,0.0,19.0,,17.0,2.25,11.0,3.0,8.0,2.83,1.58
270,Daniel Batty,GBR,MF,Hull City,eng Premier League,18.0,1997.0,0.0,,,,,0.0,,0.0,0.0,,1.0,,,,,,
271,Robert Bauer,DEU,"DF,MF",Werder Bremen,de Bundesliga,21.0,1995.0,27.0,2122.0,79.0,69.3,23.6,25.0,,20.0,2.0,,4.0,1.52,40.0,42.0,-2.0,-0.08,0.01
272,Oliver Baumann,DEU,GK,Hoffenheim,de Bundesliga,26.0,1990.0,34.0,3060.0,90.0,100.0,34.0,34.0,,34.0,0.0,,0.0,1.82,64.0,37.0,27.0,0.79,
273,Julian Baumgartlinger,AUT,MF,Leverkusen,de Bundesliga,28.0,1988.0,22.0,1561.0,71.0,51.0,17.3,19.0,,12.0,3.0,,11.0,1.32,27.0,26.0,1.0,0.06,0.24
274,Denis Baumgartner,SVK,MF,Sampdoria,it Serie A,18.0,1998.0,0.0,,,,,0.0,,0.0,0.0,,1.0,,,,,,
275,Éric Bauthéac,FRA,"MF,FW",Lille,fr Ligue 1,28.0,1987.0,13.0,725.0,56.0,21.2,8.1,9.0,,1.0,4.0,,9.0,1.08,11.0,10.0,1.0,0.12,0.39
276,Jon Bautista,ESP,FW,Real Sociedad,es La Liga,21.0,1995.0,12.0,312.0,26.0,9.1,3.5,2.0,73.0,0.0,10.0,17.0,12.0,1.5,8.0,5.0,3.0,0.87,0.78
277,Paul Baysse,FRA,DF,Nice,fr Ligue 1,28.0,1988.0,22.0,1858.0,84.0,54.3,20.6,20.0,,20.0,2.0,,0.0,2.05,31.0,19.0,12.0,0.58,-0.28
