,Player,Squad,90s,Tackles - Tkl,Tackles - TklW,Tackles - Def 3rd,Tackles - Mid 3rd,Tackles - Att 3rd,Challenges - Tkl,Challenges - Att,Challenges - Tkl%,Challenges - Lost,Blocks - Blocks,Blocks - Sh,Blocks - Pass,Int,Tkl+Int,Clr,Err
1532,Ethan Nwaneri,Arsenal,0.1,0,0,0,0,0,0,0,0.0,0,1,1,0,0,0,1,0
1534,Orjan Nyland,Sevilla,9.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,6,1
1535,Rabby Nzingoula,Montpellier,3.3,13,8,6,5,2,4,10,40.0,6,4,0,4,6,19,4,0
1536,M'Bala Nzola,Lens,2.2,1,0,0,0,1,1,1,100.0,0,1,1,0,2,3,2,0
1537,Marwann Nzuzi,Saint-Étienne,1.4,2,2,1,0,1,1,2,50.0,1,0,0,0,2,4,6,0
1538,Christian Norgaard,Brentford,4.8,13,7,6,7,0,9,12,75.0,3,9,1,8,9,22,12,0
1539,Jake O'Brien,Everton,0.3,2,2,1,1,0,2,2,100.0,0,1,0,1,0,2,0,0
1540,Dara O'Shea,Ipswich Town,4.0,6,3,5,1,0,2,2,100.0,0,7,7,0,9,15,17,0
1541,Adam Obert,Cagliari,1.8,2,2,1,1,0,1,4,25.0,3,4,1,3,5,7,10,1
1542,Jan Oblak,Atlético Madrid,8.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,1
1543,Lucas Ocampos,Sevilla,1.9,3,2,2,0,1,1,2,50.0,1,2,0,2,0,3,2,0
1544,Jens Odgaard,Bologna,2.4,3,2,0,3,0,1,2,50.0,1,3,1,2,1,4,0,0
1545,Wilson Odobert,Tottenham,1.8,5,2,2,2,1,4,6,66.7,2,1,0,1,0,5,1,1
1546,Alvaro Odriozola,Real Sociedad,0.3,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0
1547,Tim Oermann,Bochum,1.2,1,1,1,0,0,0,1,0.0,1,2,2,0,3,4,2,0
1548,Chiedozie Ogbene,Ipswich Town,2.3,7,3,1,2,4,2,4,50.0,2,1,0,1,1,8,3,0
1549,Ifechukwu Ogbus,Freiburg,0.2,1,1,0,0,1,0,1,0.0,1,0,0,0,1,2,2,0
1550,Hamzat Ojediran,Lens,1.2,7,4,2,5,0,2,4,50.0,2,1,0,1,4,11,2,0
1551,Noah Okafor,Milan,2.5,1,0,0,0,1,0,0,0.0,0,0,0,0,0,1,1,0
1552,Caleb Okoli,Leicester City,5.0,11,5,5,6,0,5,7,71.4,2,13,8,5,4,15,37,1
1553,Yllan Okou,Hellas Verona,0.0,0,0,0,0,0,0,0,0.0,0,1,0,1,0,0,0,0
1554,Maduka Okoye,Udinese,7.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,3,1
1555,Joseph Okumu,Reims,3.0,4,2,2,2,0,2,4,50.0,2,10,9,1,5,9,11,1
1556,Olasagasti,Real Sociedad,0.7,2,1,1,1,0,0,2,0.0,2,0,0,0,1,3,1,0
1557,Ben Old,Saint-Étienne,4.2,4,4,3,1,0,2,8,25.0,6,5,1,4,1,5,1,0
1558,Michael Olise,Bayern Munich,4.6,7,4,2,4,1,3,6,50.0,3,4,0,4,1,8,2,0
1560,Brian Olivan,Espanyol,1.9,3,3,1,2,0,0,2,0.0,2,1,0,1,3,6,6,0
1561,Lucas Oliveira Rosa,Valladolid,9.0,21,15,16,4,1,13,19,68.4,6,10,6,4,12,33,24,1
1562,Mathias Olivera,Napoli,5.2,12,5,6,3,3,5,10,50.0,5,7,1,6,3,15,12,0
1563,Dani Olmo,Barcelona,2.1,3,1,1,1,1,1,6,16.7,5,0,0,0,1,4,0,0
1564,Becir Omeragic,Montpellier,4.8,11,4,9,2,0,6,10,60.0,4,5,3,2,5,16,14,0
1565,Jonas Omlin,Gladbach,3.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
1566,Ado Onaiwu,Auxerre,3.6,5,4,0,5,0,2,3,66.7,1,1,0,1,1,6,3,0
1567,Amadou Onana,Aston Villa,4.7,16,10,6,8,2,5,10,50.0,5,6,4,2,8,24,9,1
1568,Andre Onana,Manchester Utd,7.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,4,0
1569,Karim Onisiwo,Mainz 05,1.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
1570,Paul Onuachu,Southampton,0.2,0,0,0,0,0,0,0,0.0,0,0,0,0,1,1,0,0
1571,Frank Onyeka,Brentford,0.3,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
1572,Frank Onyeka,Augsburg,3.9,13,12,5,6,2,4,6,66.7,2,4,2,2,6,19,4,0
